affirmation,valeur_mesuree,valeur_min_attendue,reference_externe,unite,statut
Italie ~50 GW fossiles opérants,50.045,,,GW,CONFIRMÉ
Allemagne 38 GW solaires,38.026,,,GW,CONFIRMÉ
"Allemagne 62,7 GW fossiles",62.748,,,GW,CONFIRMÉ
Allemagne 73 % pointe du soir fossile,0.725,,,index,CONFIRMÉ
"Espagne 83,6 GW renouvelables opérants",83.581,,,GW,CONFIRMÉ
"Espagne 8,5 GW d'interconnexion",8.5,,,GW,CONFIRMÉ
"Irlande 0,3 GW de stockage",0.292,,,GW,CONFIRMÉ
Irlande 1 seul lien (630 MW),0.63,,,GW,CONFIRMÉ
"Belgique 1,3 GW de stockage",1.308,,,GW,CONFIRMÉ
Danemark ~70 % variable,0.703,,,share,CONFIRMÉ
Danemark 0 % pompage,0.0,,,share,CONFIRMÉ
"Danemark 54,5 % du dispatchable en bio",0.545,,,share,CONFIRMÉ
Estonie >50 % variable,0.755,0.5,,share,CONFIRMÉ
Grèce >50 % variable,0.486,0.5,,share,ERRONÉ
Irlande >50 % variable,0.433,0.5,,share,ERRONÉ
Danemark >50 % variable,0.703,0.5,,share,CONFIRMÉ
Autriche croisée stockage ≥ gaz en pipeline,1.7,1.0,,ratio,CONFIRMÉ
"Finlande entropie 1,51 (5 tech)",1.51,,,entropy,CONFIRMÉ
"Suède entropie 1,39 (5 tech)",1.388,,,entropy,CONFIRMÉ
"France entropie 1,25 (4 tech)",1.249,,,entropy,CONFIRMÉ
"Norvège ~34,8 GW hydro opérants",28.933,,34.8,GW,ÉCART SIGNIFICATIF
"Suède 16,2 GW hydro + 3,3 GW bio",17.176,16.0,19.5,GW,CONFIRMÉ
"Autriche 6,1 GW pompage opérant",6.144,5.5,6.1,GW,CONFIRMÉ
