from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw
AUT,DEU,1400.0,7800.0,5.56745182012848,6400.0
FRA,GBR,3000.0,5875.0,1.9576807730756414,2875.0
ESP,FRA,2800.0,5200.0,1.8564798286326312,2400.0
EGY,GRC,0.0,5000.0,5000.0,5000.0
BIH,SRB,530.0,3660.0,6.892655367231638,3130.0
BEL,NLD,2400.0,3000.0,1.2494793835901707,600.0
BEL,GBR,1000.0,2800.0,2.797202797202797,1800.0
DEU,GBR,0.0,2800.0,2800.0,2800.0
DNK,GBR,0.0,2800.0,2800.0,2800.0
ITA,TUN,0.0,2600.0,2600.0,2600.0
BEL,FRA,2800.0,2500.0,0.8925383791503034,-300.0
DEU,POL,1000.0,2400.0,2.3976023976023977,1400.0
GBR,IRL,630.0,2370.0,3.75594294770206,1740.0
ROU,SRB,680.0,2310.0,3.392070484581498,1630.0
EST,LVA,0.0,2100.0,2100.0,2100.0
FIN,SWE,2400.0,2100.0,0.8746355685131195,-300.0
DEU,NLD,3950.0,2050.0,0.518855985826373,-1900.0
CYP,EGY,0.0,2000.0,2000.0,2000.0
CYP,GRC,0.0,2000.0,2000.0,2000.0
CYP,ISR,0.0,2000.0,2000.0,2000.0
GRC,LBY,0.0,2000.0,2000.0,2000.0
GBR,NLD,1000.0,2000.0,1.998001998001998,1000.0
CHE,DEU,4200.0,1900.0,0.4522732682694596,-2300.0
ESP,PRT,2300.0,1900.0,0.8257279443720121,-400.0
DEU,FRA,3000.0,1800.0,0.5998000666444518,-1200.0
HUN,ROU,1100.0,1637.0,1.4868301544050864,537.0
DEU,LUX,2300.0,1400.0,0.6084311169056932,-900.0
DEU,SWE,615.0,1400.0,2.272727272727273,785.0
GBR,NOR,1400.0,1400.0,0.9992862241256245,0.0
BGR,SRB,320.0,1220.0,3.8006230529595015,900.0
CHE,ITA,3750.0,1200.0,0.3199146894161557,-2550.0
FRA,ITA,2900.0,1200.0,0.4136504653567735,-1700.0
HUN,SVN,0.0,1200.0,1200.0,1200.0
CZE,DEU,1600.0,1150.0,0.7183010618363522,-450.0
BGR,TUR,900.0,1100.0,1.2208657047724751,200.0
GEO,TUR,150.0,1050.0,6.953642384105961,900.0
AUT,ITA,410.0,1040.0,2.5304136253041363,630.0
ITA,SVN,660.0,1010.0,1.5279878971255674,350.0
MAR,PRT,0.0,1000.0,1000.0,1000.0
BEL,DEU,1000.0,1000.0,0.999000999000999,0.0
DEU,DNK,3700.0,1000.0,0.27019724398811135,-2700.0
GEO,RUS,950.0,1000.0,1.0515247108307044,50.0
LTU,POL,0.0,1000.0,1000.0,1000.0
BGR,GRC,770.0,930.0,1.206225680933852,160.0
ARM,IRN,350.0,850.0,2.421652421652422,500.0
HUN,SVK,1800.0,800.0,0.4441976679622432,-1000.0
MNE,SRB,580.0,760.0,1.3080895008605853,180.0
DNK,SWE,2450.0,700.0,0.28559771521827826,-1750.0
EST,FIN,1016.0,700.0,0.688298918387414,-316.0
FRA,IRL,0.0,700.0,700.0,700.0
BGR,ROU,900.0,600.0,0.6659267480577137,-300.0
GRC,TUR,660.0,600.0,0.9077155824508321,-60.0
