from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw
EGY,GRC,0.0,5000.0,5000.0,5000.0
DEU,GBR,0.0,2800.0,2800.0,2800.0
DNK,GBR,0.0,2800.0,2800.0,2800.0
ITA,TUN,0.0,2600.0,2600.0,2600.0
EST,LVA,0.0,2100.0,2100.0,2100.0
CYP,EGY,0.0,2000.0,2000.0,2000.0
CYP,GRC,0.0,2000.0,2000.0,2000.0
CYP,ISR,0.0,2000.0,2000.0,2000.0
GRC,LBY,0.0,2000.0,2000.0,2000.0
HUN,SVN,0.0,1200.0,1200.0,1200.0
MAR,PRT,0.0,1000.0,1000.0,1000.0
LTU,POL,0.0,1000.0,1000.0,1000.0
FRA,IRL,0.0,700.0,700.0,700.0
AUT,SVK,0.0,500.0,500.0,500.0
LVA,SWE,0.0,500.0,500.0,500.0
MLT,TUN,0.0,250.0,250.0,250.0
