from_reg,to_reg,existing_mw,planned_mw,delta_mw
Europe,NorthAfrica,1400.0,6850.0,5450.0
NorthAfrica,Europe,2000.0,6000.0,4000.0
NorthAfrica,MiddleEast,300.0,3000.0,2700.0
Europe,MiddleEast,1020.0,2850.0,1830.0
NorthAfrica,Other,300.0,1000.0,700.0
MiddleEast,CentralAsia,380.0,500.0,120.0
China,CentralAsia,0.0,0.0,0.0
MiddleEast,Other,70.0,0.0,-70.0
CentralAsia,Other,350.0,0.0,-350.0
MiddleEast,Europe,1190.0,0.0,-1190.0
China,Other,2418.0,1000.0,-1418.0
NorthAfrica,NorthAfrica,2220.0,500.0,-1720.0
MiddleEast,MiddleEast,6850.0,3150.0,-3700.0
Europe,Other,4750.0,1000.0,-3750.0
CentralAsia,CentralAsia,8450.0,1300.0,-7150.0
Europe,Europe,105202.0,91510.0,-13692.0
China,China,370274.3,43000.0,-327274.3
