iso3,dispatchable,variable,var_share
TUR,76058.86,30454.299999999992,0.2859205378940941
GBR,53027.65000000001,41892.19999999996,0.44134288033535163
DNK,3548.2,8387.199999999999,0.7027162893576502
SWE,26978.699999999997,17246.300000000003,0.38996721311474536
FIN,14337.0,8777.8,0.37974804021664127
IRL,6943.6,5308.200000000001,0.4332587864639944
HUN,6147.9,4380.099999999997,0.4160429331306594
LTU,2293.0,2179.6,0.48732280999854943
POL,35329.0,17888.999999999996,0.33614566500055737
CHE,17754.3,151.7,0.008472020551769882
BGR,8927.0,4136.999999999998,0.316671769748904
UKR,27361.100000000002,6254.400000000002,0.18605702726420298
SVK,5952.0,890.3999999999992,0.1301297790248844
LUX,1311.8,232.70000000000002,0.15066364519252143
LVA,2646.0,685.3000000000002,0.2057154864466708
AND,63.0,3.3,0.04977375565535786
GRC,12181.6,11506.8,0.48575674169633715
MDA,1216.0,165.7,0.11992473040448727
NOR,29456.0,5839.2,0.16543892653958145
ARM,2535.0,286.19999999999993,0.10144619310927921
AUT,17996.0,3948.3999999999996,0.17992745301761814
CYP,1853.0,551.9000000000001,0.22948979167523414
CZE,14775.8,2964.799999999996,0.16711948863058915
EST,563.1,1733.599999999999,0.7548221361080006
GEO,4143.2,33.6,0.008044435931811903
DEU,72183.141,88619.6999999999,0.5511078003901648
ITA,69093.98000000001,15844.700000000003,0.1865428094714895
XKX,1325.0,151.9,0.10285056537334765
MNE,874.0,134.9,0.13370998116747576
NLD,20632.699999999997,18919.20000000001,0.47833858803242146
MKD,1766.0,513.1999999999999,0.22516672516662636
SVN,3056.0,93.60000000000004,0.02971805943610945
ISL,2767.4,0.0,0.0
PRT,12918.79,9315.500000000011,0.4189699783532367
ESP,56108.350000000006,67245.6,0.5451434672339187
FRA,101229.93899999998,38749.30000000004,0.2768217649761602
BEL,11738.400000000001,4871.1,0.29327192269482566
SRB,7003.2,803.3000000000001,0.10290142829691887
AZE,8388.900000000001,354.1,0.04050097220633186
ROU,13284.8,9097.000000000005,0.4064463090546604
BLR,11658.2,276.79999999999995,0.023192291579386407
HRV,3506.8999999999996,1366.6,0.2804144865086117
MLT,547.8,18.700000000000003,0.033009708737805815
ALB,1770.0,354.2,0.16674512757736243
BIH,4146.0,783.5,0.15894106907391034
