iso3,n_units,capacity_mw
DEU,10474,160802.841
FRA,3822,139979.239
ESP,3917,123353.95
TUR,3531,106513.16
GBR,2394,94919.85
ITA,1875,84938.68
POL,5182,53218.0
SWE,610,44225.0
NLD,1030,39551.9
NOR,318,35295.2
UKR,611,33615.5
GRC,3812,23688.4
FIN,302,23114.8
ROU,642,22381.8
PRT,617,22234.29
AUT,465,21944.4
CHE,181,17906.0
CZE,838,17740.6
BEL,384,16609.5
BGR,514,13064.0
IRL,220,12251.8
DNK,394,11935.4
BLR,94,11935.0
HUN,845,10528.0
AZE,50,8743.0
SRB,83,7806.5
SVK,266,6842.4
BIH,104,4929.5
HRV,127,4873.5
LTU,175,4472.6
GEO,36,4176.8
LVA,96,3331.3
SVN,69,3149.6
ARM,82,2821.2
ISL,36,2767.4
CYP,133,2404.9
EST,212,2296.7
MKD,105,2279.2
ALB,30,2124.2
LUX,56,1544.5
XKX,11,1476.9
MDA,55,1381.7
MNE,9,1008.9
MLT,10,566.5
AND,4,66.3
