iso3,total_mw,fossil_mw,nuclear_mw,hydro_mw,bio_geo_mw,var_mw,solar_mw,pumped_mw,pipeline_mw,var_share,fossil_share,hydro_share,storage_share,pipeline_ratio,cluster,is_hubris
EST,2296.7,458.1,0.0,0.0,105.0,1733.6,1045.6,0.0,14258.1,0.7548221357796743,0.19946009483195018,0.0,0.0,6.208081157222067,3,true
DNK,11935.4,1614.2,0.0,0.0,1934.0,8387.2,3383.9,0.0,28705.1,0.7027162892988325,0.13524473414085456,0.0,0.0,2.4050387919629808,0,false
DEU,160802.841,62748.31,0.0,7187.0,2247.831,88619.7,38026.1,6033.0,43326.59999999999,0.5511078003867412,0.39021891410245535,0.044694483973422496,0.03751799385162904,0.26943926942018737,0,false
ESP,123353.95,31544.0,7408.0,16335.0,821.35,67245.6,36230.7,6227.0,180520.3000000001,0.5451434672295039,0.25571941554967864,0.13242380969452197,0.05048075071734241,1.4634334773919822,0,false
LTU,4472.6,1148.0,0.0,1001.0,144.0,2179.6,871.6,900.0,4106.5,0.487322809889701,0.2566739703401435,0.22380718145512513,0.20122523807154108,0.9181460446008705,0,false
GRC,23688.4,9062.6,0.0,3119.0,0.0,11506.8,5978.2,699.0,108785.90000000005,0.48575674167585153,0.382575437750858,0.13166782053107562,0.029508113674646317,4.592370105005306,3,true
NLD,39551.9,18485.5,515.0,0.0,1632.2,18919.2,6897.1,0.0,24002.4,0.4783385880203394,0.4673732488080883,0.0,0.0,0.6068583304314873,0,false
GBR,94919.85,36995.2,6534.0,4180.0,5318.45,41892.2,11126.2,3160.0,160497.30000000008,0.44134288033070695,0.38975198548681067,0.04403715345057923,0.03329124519230391,1.6908718250008739,0,false
IRL,12251.8,6360.2,0.0,460.0,123.4,5308.2,927.1,292.0,63504.90000000001,0.4332587864286669,0.5191237205537861,0.03754550351478595,0.023833232665907603,5.183311839469849,3,true
PRT,22234.29,4651.5,0.0,7783.0,484.29,9315.5,3550.9,3714.0,15048.8,0.41896997833441185,0.20920389181713453,0.3500449080969059,0.16703928930642536,0.6768284482807038,0,false
HUN,10528.0,3908.5,2027.0,0.0,212.4,4380.1,4061.1,0.0,4667.0,0.41604293309118134,0.37124810026868843,0.0,0.0,0.4432940729062221,0,false
ROU,22381.8,5549.8,1411.0,6294.0,30.0,9097.0,3613.0,0.0,17958.8,0.4064463090365187,0.24796039638241965,0.2812106264786027,0.0,0.8023840798862297,0,false
SWE,44225.0,2619.0,7184.0,13842.0,3333.7,17246.3,663.1,91.0,92000.5,0.3899672131059363,0.05921989824625845,0.31299039004379897,0.0020576596946962657,2.080282645515426,0,false
FIN,23114.8,3427.2,4622.0,2545.0,3742.8,8777.8,219.4,0.0,48130.4,0.3797480402002289,0.14826864172961615,0.11010261823117212,0.0,2.0822330280996493,0,false
POL,53218.0,32474.0,0.0,2101.0,754.0,17889.0,8926.5,1875.0,49892.600000000006,0.3361456649942473,0.6102070727834529,0.039479123604053534,0.03523244015116629,0.9375136231925757,0,false
BGR,13064.0,4186.0,2080.0,2661.0,0.0,4137.0,3529.0,864.0,7246.0,0.3166717697246883,0.32042253518674046,0.20368952845960736,0.06613594610638886,0.554654010980201,0,false
BEL,16609.5,6069.0,4096.0,1308.0,265.4,4871.1,905.1,1308.0,6199.8,0.29327192267718644,0.36539329899362455,0.07875011288246184,0.07875011288246184,0.37326831028187074,2,false
TUR,106513.16,46538.5,0.0,26479.0,3041.36,30454.3,16483.7,0.0,26661.300000000003,0.2859205378914125,0.43692723039634795,0.2485983891544613,0.0,0.25030991475372333,2,false
HRV,4873.5,1637.8,0.0,1833.0,36.1,1366.6,271.6,330.0,4233.799999999999,0.28041448645113065,0.3360623780986842,0.37611572783910624,0.06771314249149211,0.8687390990317554,2,false
FRA,139979.239,13521.7,65690.0,21331.0,687.239,38749.3,12894.7,5749.0,37972.69999999998,0.2768217649741843,0.09659789620590381,0.1523868835995573,0.04107037615741667,0.2712737993934137,2,false
MAR,10578.8,5993.0,0.0,1921.0,4.6,2660.2,1033.2,816.0,0.0,0.25146519451625277,0.5665103791955127,0.18158959426574,0.07713540287394266,0.0,2,false
CYP,2404.9,1853.0,0.0,0.0,0.0,551.9,395.9,0.0,793.0,0.22948979157990362,0.7705102080042787,0.0,0.0,0.32974344033858227,2,false
MKD,2279.2,1242.0,0.0,524.0,0.0,513.2,440.2,0.0,3503.7,0.22516672506793323,0.5449280446889576,0.2299052298043589,0.0,1.5372499115754432,2,false
LVA,3331.3,1087.0,0.0,1536.0,23.0,685.3,585.3,0.0,5810.0,0.20571548638498016,0.3262990423179242,0.4610812594299279,0.0,1.7440638784426308,2,false
ITA,84938.68,50045.0,0.0,17404.0,1644.98,15844.7,5404.4,7643.0,65168.2,0.1865428094692955,0.5891897542958145,0.20490075899219415,0.08998256153627557,0.7672382005375262,2,false
UKR,33615.5,7279.1,13835.0,6247.0,0.0,6254.4,5687.7,1985.0,15814.300000000001,0.1860570272586736,0.21653998898673113,0.18583689071452641,0.059050140558401625,0.4704466689333657,2,false
