iso3,ren_op_mw,fossil_op_mw,fossil_per_ren
MLT,18.7,547.8,29.29411608052855
BLR,316.8,9230.2,29.13573223126347
XKX,186.9,1290.0,6.902086640438274
MDA,213.7,1168.0,5.465605964129125
AZE,1565.1,7140.900000000001,4.562583857540998
CYP,551.9,1853.0,3.3574922932460733
SRB,2390.3,5379.0,2.250345144019435
CZE,4783.8,8732.6,1.825452568705746
POL,19990.0,32474.0,1.6245122560467977
ITA,33248.7,50045.0,1.5051716307252565
MKD,1037.2,1242.0,1.1974546845377412
IRL,5768.2,6360.2,1.1026316700005838
SVN,1163.6,1259.0,1.0819869361619225
BEL,6179.1,6069.0,0.9821818709873311
NLD,18919.2,18485.5,0.9770761976734176
ARM,1246.2,1127.0,0.9043492209080811
HUN,4380.1,3908.5,0.8923312251107665
TUR,56933.3,46538.5,0.8174214387569766
GBR,46072.2,36995.200000000004,0.8029831438307053
BIH,2939.5,1990.0,0.6769858817224066
DEU,95806.7,62748.31,0.6549469922181336
GRC,14625.8,9062.6,0.619631062873851
BGR,6798.0,4186.0,0.6157693438341028
UKR,12501.4,7279.1,0.5822627865213286
HRV,3199.6,1637.8,0.5118764844005886
LVA,2221.3,1087.0,0.48935308130853417
SVK,3087.4,1284.0,0.4158839151338071
GEO,3008.6,1168.2,0.38828691072648847
ESP,83580.6,31543.999999999996,0.37740815451938114
LTU,3180.6,1148.0,0.360938187649834
ROU,15391.0,5549.8,0.360587356223729
FIN,11322.8,3427.2,0.30268131554892064
MNE,783.9,225.0,0.2870264060632397
AUT,16863.4,4826.0,0.2861819087321547
PRT,17098.5,4651.5,0.272041407125067
EST,1733.6,458.1,0.2642478078771067
FRA,60080.3,13521.7,0.22506046074628355
DNK,8387.2,1614.2,0.1924599389316506
SWE,31088.3,2619.0,0.0842439116939735
NOR,34772.2,523.0,0.015040750944287657
CHE,14437.7,98.8,0.006843195245306163
AND,48.3,0.0,0.0
ALB,2124.2,0.0,0.0
ISL,1928.0,0.0,0.0
LUX,1526.7,0.0,0.0
