from_iso3,to_iso3,inter_mw,fossil_a,fossil_b,mix_divergence,friction_score_GW
CHE,ITA,4950.0,0.005517703563051491,0.5891897543027511,0.5836720507396996,2.8891766511615136
FRA,GBR,8875.0,0.0965978962065939,0.3897519854909168,0.29315408928432285,2.6017425423983656
CHE,DEU,6100.0,0.005517703563051491,0.390218914104882,0.38470121054183054,2.3466773843051665
FRA,ITA,4100.0,0.0965978962065939,0.5891897543027511,0.49259185809615724,2.019626618194245
AUT,DEU,9200.0,0.2199194327482182,0.390218914104882,0.1702994813566638,1.566755228481307
DEU,LUX,3700.0,0.390218914104882,0.0,0.390218914104882,1.4438099821880634
BEL,FRA,5300.0,0.36539329901562356,0.0965978962065939,0.2687954028090297,1.4246156348878574
DEU,FRA,4800.0,0.390218914104882,0.0965978962065939,0.2936210178982881,1.409380885911783
ROU,SRB,2990.0,0.24796039639349832,0.6890411836290271,0.4410807872355288,1.318831553834231
ESP,FRA,8000.0,0.2557194155517517,0.0965978962065939,0.1591215193451578,1.2729721547612627
DEU,DNK,4700.0,0.390218914104882,0.13524473415218594,0.2549741799526961,1.1983786457776717
BIH,SRB,4190.0,0.4036920580180546,0.6890411836290271,0.28534912561097253,1.195612836309975
GBR,NOR,2800.0,0.3897519854909168,0.014817878918379837,0.37493410657253695,1.0498154984031034
POL,SVK,1980.0,0.610207072794919,0.1876534549280954,0.42255361786682366,0.8366561633763109
CYP,GRC,2000.0,0.7705102083246704,0.3825754377670083,0.3879347705576621,0.7758695411153244
DEU,POL,3400.0,0.390218914104882,0.610207072794919,0.21998815869003702,0.7479597395461259
DNK,GBR,2800.0,0.13524473415218594,0.3897519854909168,0.25450725133873087,0.7126203037484464
CZE,SVK,2300.0,0.4922381430165835,0.1876534549280954,0.30458468808848804,0.7005447826035226
DEU,SWE,2015.0,0.390218914104882,0.05921989824759751,0.33099901585728453,0.6669630169524283
MNE,SRB,1340.0,0.22301516503122212,0.6890411836290271,0.466026018597805,0.6244748649210587
MDA,UKR,984.0,0.8453354563219222,0.2165399889931728,0.6287954673287494,0.6187347398514894
BGR,SRB,1540.0,0.3204225352112676,0.6890411836290271,0.3686186484177595,0.5676727185633496
