iso3,pipeline_mw,pipeline_no_owner_mw,n,share_no_owner
ESP,180520.3000000001,54879.7,2004,0.30988023952095806
GBR,160497.30000000008,32276.199999999986,1861,0.7565824825362708
GRC,108785.90000000005,39507.10000000001,2757,0.5070729053318824
SWE,92000.5,7077.300000000001,143,0.2097902097902098
ITA,65168.2,8.0,218,0.009174311926605505
IRL,63504.90000000001,11366.9,359,0.5598885793871866
POL,49892.600000000006,865.0,138,0.08695652173913043
FIN,48130.4,577.3,308,0.14285714285714285
DEU,43326.59999999999,16721.899999999998,1192,0.9010067114093959
FRA,37972.69999999998,13110.499999999998,495,0.4161616161616162
NOR,33234.1,17043.2,156,0.6025641025641025
DNK,28705.1,5487.4,43,0.18604651162790697
TUR,26661.300000000003,5071.800000000001,319,0.7210031347962382
NLD,24002.4,16966.5,37,0.43243243243243246
ROU,17958.8,752.0,84,0.13095238095238096
UKR,15814.300000000001,687.0,41,0.12195121951219512
PRT,15048.8,4423.7,61,0.3770491803278688
SRB,14830.6,850.0,66,0.030303030303030304
EST,14258.1,149.0,23,0.043478260869565216
CZE,9094.0,1000.0,28,0.07142857142857142
BGR,7246.0,2912.0,24,0.16666666666666666
BIH,6995.5,296.5,65,0.046153846153846156
BEL,6199.8,2112.0,89,0.033707865168539325
LVA,5810.0,1561.6,30,0.1
AZE,5246.5,36.0,17,0.058823529411764705
HUN,4667.0,20.0,17,0.058823529411764705
HRV,4233.799999999999,334.9,53,0.11320754716981132
ALB,4224.7,54.0,31,0.06451612903225806
LTU,4106.5,810.0,24,0.08333333333333333
MNE,3803.0,250.0,25,0.04
MKD,3503.7,30.0,21,0.047619047619047616
AUT,3382.6,0.0,21,0.0
GEO,3099.8,702.0,21,0.047619047619047616
SVN,2268.1,0.0,18,0.0
CHE,2092.5,373.5,43,0.5813953488372093
ARM,1998.3000000000002,1391.3000000000002,43,0.8604651162790697
SVK,1804.5,1216.0,9,0.3333333333333333
XKX,1291.0,600.0,12,0.16666666666666666
CYP,793.0,0.0,8,0.0
ISL,751.2,0.0,6,0.0
MDA,305.0,0.0,3,0.0
MLT,300.0,0.0,1,0.0
LUX,87.5,0.0,5,0.0
