iso3,pipeline_ratio,cap_2015_mw,cap_2021_mw,growth_2015_2021,ip_vs_cap_proxy
EST,6.208081157222067,791.1,1226.5,0.5496780709506375,11.294010424092658
DZA,0.0,15282.0,5452.1,-0.643191781718249,-0.0
MAR,0.0,6537.6,1335.6,-0.7955831523567736,-0.0
LBY,0.0,10893.0,3054.0,-0.7195704057279236,-0.0
TUN,0.0,4244.0,1264.0,-0.702002355712603,-0.0
EGY,0.0,32358.8,4618.9,-0.8572333574373142,-0.0
LUX,0.05665263835762212,1336.8,33.6,-0.9741366422484677,-0.058156827345787664
CHE,0.11686027029393163,15335.1,915.2,-0.9402586055124835,-0.12428537627221577
AUT,0.15414410965193195,17928.5,1796.4,-0.899751805683371,-0.17131866810039448
MDA,0.22074256334895953,1216.0,162.4,-0.8657354149548069,-0.25497723035589703
SVK,0.2637232549597037,5307.9,578.2,-0.8909001864793084,-0.2960191893337517
TUR,0.2503099147537233,62062.9,11865.6,-0.8088002848676928,-0.30948335320878795
FRA,0.2712737993934138,110522.039,14934.5,-0.8648652793559178,-0.3136605428951661
CYP,0.32974344033858227,2009.0,214.3,-0.8928855721393035,-0.36930130794906074
BEL,0.37326831028187074,11935.1,1644.5,-0.8621409002940659,-0.43295561445950165
DEU,0.2694392694201874,97790.825,39795.98,-0.5930438970742186,-0.4543335241842842
UKR,0.4704466689333656,25941.6,1488.0,-0.9426040566481386,-0.499093086549344
CZE,0.5126094945766992,13548.3,452.4,-0.9665370166724481,-0.5303573645827405
MLT,0.5295675189239761,190.0,2.5,-0.981675392670157,-0.539453328800348
HUN,0.4432940729062221,6245.0,2200.9,-0.6474703810438681,-0.6846564268282943
BGR,0.554654010980201,9364.9,2141.4,-0.7712552984763877,-0.7191584047906372
GEO,0.7421470980793556,3427.2,58.9,-0.9825272737879936,-0.7553458038512401
SVN,0.7201231900177409,2833.0,153.0,-0.9456598447424136,-0.7615042084377629
ITA,0.7672382005375262,67793.88,5255.3,-0.9224675963730594,-0.8317246429888542
ROU,0.8023840798862297,17983.8,2089.7,-0.8837518348827899,-0.9079302086233937
PRT,0.6768284482807038,15667.89,4305.5,-0.7251560257299655,-0.9333569019940052
XKX,0.8741282409952411,1325.0,105.8,-0.9194570135746607,-0.9507015323080065
NOR,0.9416039574519594,28783.0,1485.6,-0.9483532518065593,-0.9928841900868114
HRV,0.8687390990317556,3322.8,838.5,-0.7474276430591492,-1.1623068392050966
POL,0.9375136231925756,31200.5,7756.7,-0.7513677227056391,-1.2477444034474
NLD,0.6068583304314873,19666.2,10193.0,-0.4816750732183534,-1.2598941154891372
BIH,1.4191094428605113,3811.0,706.4,-0.8144281217208814,-1.7424633893109287
MKD,1.5372499115754432,1803.0,426.7,-0.7629157427937916,-2.0149694655867294
GBR,1.690871825000873,66292.25,11240.2,-0.8304322084073417,-2.0361371392143894
ESP,1.463433477391981,78318.65,23647.2,-0.698055341156402,-2.096446352539899
SRB,1.8997758275924197,6447.0,942.7,-0.8536445409429281,-2.2254907774431727
LVA,1.7440638784426308,2687.0,629.9,-0.7652901785714286,-2.2789605906858488
ALB,1.988842857551623,1429.0,311.2,-0.7816783216783216,-2.5443271825788982
SWE,2.080282645515426,29839.5,9030.2,-0.6973509157018146,-2.9831259725927186
LTU,0.9181460446008705,2463.0,1750.0,-0.28936688311688313,-3.1729588668544073
MNE,3.7694518745470793,874.0,16.9,-0.9795428571428572,-3.848178459205281
DNK,2.4050387919629808,5544.3,3818.9,-0.3111463762104846,-7.729630506660695
FIN,2.0822330280996493,11642.5,8530.5,-0.2672735861210117,-7.790671906608808
IRL,5.183311839469849,6533.4,3609.7,-0.44743205190989227,-11.58460463873596
GRC,4.592370105005303,11786.0,7764.8,-0.34115551030796637,-13.461261587483298
