iso3,shannon_entropy,n_tech_gt1gw
FIN,1.51,5
SWE,1.388,5
BGR,1.345,4
BEL,1.339,4
UKR,1.322,4
SVK,1.312,3
ROU,1.252,4
FRA,1.249,4
CZE,1.241,4
GBR,1.211,5
SVN,1.176,2
TUR,1.167,4
ESP,1.149,4
LTU,1.145,3
PRT,1.143,3
HUN,1.129,3
HRV,1.127,3
LVA,1.082,2
ITA,1.026,4
BIH,1.02,2
MKD,1.005,1
AUT,1.005,3
GRC,0.985,3
MAR,0.982,3
NLD,0.896,3
DEU,0.894,4
MNE,0.887,0
IRL,0.872,2
POL,0.856,3
SRB,0.84,2
DNK,0.813,3
EST,0.675,1
GEO,0.637,2
CHE,0.617,2
CYP,0.539,1
NOR,0.523,2
EGY,0.516,3
MDA,0.513,1
LUX,0.485,1
ALB,0.451,1
XKX,0.441,1
TUN,0.292,1
MLT,0.145,0
LBY,0.145,1
DZA,0.125,1
