year,type,capacity_mw
1970,bioenergy,963.3
1970,coal,89730.30000000002
1970,geothermal,5.0
1970,hydropower,97038.0
1970,nuclear,8064.0
1970,oil/gas,5229.3
1970,wind,23.0
1971,bioenergy,68.0
1971,coal,12270.9
1971,hydropower,3416.0
1971,nuclear,1526.0
1971,oil/gas,1955.0
1972,bioenergy,28.0
1972,coal,7736.2
1972,hydropower,3674.0
1972,nuclear,3672.0
1972,oil/gas,2020.0
1973,bioenergy,348.0
1973,coal,5296.8
1973,hydropower,3211.0
1973,nuclear,621.0
1973,oil/gas,5833.8
1974,bioenergy,477.8
1974,coal,9493.0
1974,hydropower,6807.0
1974,nuclear,1022.0
1974,oil/gas,3272.7
1975,bioenergy,2015.0
1975,coal,5285.5
1975,hydropower,2768.0
1975,nuclear,6931.0
1975,oil/gas,4536.7
1976,coal,6185.0
1976,hydropower,4224.0
1976,nuclear,3299.0
1976,oil/gas,4599.4
1977,bioenergy,124.0
1977,coal,4012.4
1977,geothermal,30.0
1977,hydropower,1446.0
1977,nuclear,4304.0
1977,oil/gas,3610.0
1978,bioenergy,83.0
1978,coal,5673.2
1978,geothermal,2.0
1978,hydropower,4541.0
1978,nuclear,3735.0
1978,oil/gas,1231.0
1979,bioenergy,367.5
1979,coal,7376.0
1979,hydropower,3827.0
1979,nuclear,8570.0
1979,oil/gas,682.0
1980,bioenergy,101.5
1980,coal,3403.6
1980,geothermal,6.0
1980,hydropower,2299.0
1980,nuclear,8558.0
1980,oil/gas,2733.9
1981,bioenergy,96.0
1981,coal,7000.6
1981,geothermal,20.0
1981,hydropower,6833.0
1981,nuclear,12564.0
1981,oil/gas,791.0
1982,bioenergy,434.0
1982,coal,7316.2
1982,hydropower,3985.0
1982,nuclear,5176.0
1982,oil/gas,1635.8999999999999
1983,bioenergy,328.7
1983,coal,5363.0
1983,hydropower,2362.0
1983,nuclear,10276.0
1983,oil/gas,1414.6
1983,utility-scale solar,5.0
1984,bioenergy,22.0
1984,coal,9464.5
1984,hydropower,3900.0
1984,nuclear,11424.0
1984,oil/gas,846.0
1985,bioenergy,421.0
1985,coal,12552.2
1985,hydropower,4025.0
1985,nuclear,22174.0
1985,oil/gas,385.0
1986,bioenergy,882.5
1986,coal,4966.0
1986,geothermal,18.0
1986,hydropower,805.0
1986,nuclear,11782.0
1986,oil/gas,406.0
1987,bioenergy,109.0
1987,coal,6826.0
1987,geothermal,18.0
1987,hydropower,5995.0
1987,nuclear,10995.0
1987,oil/gas,1189.1
1988,coal,3893.0
1988,hydropower,1058.0
1988,nuclear,13808.0
1988,oil/gas,2115.1
1989,bioenergy,22.7
1989,coal,3511.0
1989,geothermal,3.6
1989,hydropower,3881.0
1989,nuclear,11783.0
1989,oil/gas,678.5
1989,wind,17.0
1990,bioenergy,405.3
1990,coal,1268.6
1990,geothermal,20.0
1990,hydropower,859.0
1990,nuclear,1382.0
1990,oil/gas,3787.0
1991,bioenergy,284.5
1991,coal,2596.0
1991,geothermal,140.0
1991,hydropower,1780.0
1991,nuclear,2725.0
1991,oil/gas,1242.0
1991,wind,4.0
1992,bioenergy,278.69
1992,coal,3693.0
1992,hydropower,4987.0
1992,nuclear,2744.0
1992,oil/gas,1972.5
1992,wind,58.099999999999994
1993,bioenergy,215.5
1993,coal,2746.0
1993,geothermal,4.8
1993,hydropower,963.0
1993,nuclear,1040.0
1993,oil/gas,2615.3
1993,wind,140.5
1994,bioenergy,184.7
1994,coal,2110.4
1994,geothermal,22.0
1994,hydropower,551.0
1994,nuclear,1363.0
1994,oil/gas,3344.3
1994,wind,55.4
1995,bioenergy,266.5
1995,coal,1891.0
1995,geothermal,60.0
1995,hydropower,1190.0
1995,nuclear,1250.0
1995,oil/gas,5310.4
1995,wind,119.8
1996,bioenergy,328.0
1996,coal,2163.7
1996,geothermal,60.0
1996,hydropower,803.0
1996,nuclear,1706.0
1996,oil/gas,5758.1
1996,wind,297.8
1997,bioenergy,402.0
1997,coal,2851.0
1997,geothermal,17.0
1997,hydropower,821.0
1997,oil/gas,6511.5
1997,utility-scale solar,1.0
1997,wind,489.29999999999995
1998,bioenergy,237.2
1998,coal,1735.0
1998,geothermal,146.0
1998,hydropower,454.0
1998,nuclear,500.0
1998,oil/gas,7774.0
1998,wind,569.4000000000001
1999,bioenergy,237.775
1999,coal,1379.7
1999,geothermal,49.0
1999,hydropower,2139.0
1999,oil/gas,7008.9
1999,wind,1022.8
2000,bioenergy,320.9
2000,coal,2784.6
2000,geothermal,30.0
2000,hydropower,292.0
2000,nuclear,3620.0
2000,oil/gas,10041.4
2000,wind,2044.0000000000002
2001,bioenergy,398.0
2001,coal,30.0
2001,hydropower,762.0
2001,oil/gas,5187.7
2001,wind,2651.0000000000005
2002,bioenergy,874.7
2002,coal,1358.0
2002,geothermal,216.0
2002,hydropower,672.0
2002,nuclear,4204.0
2002,oil/gas,12411.9
2002,utility-scale solar,252.0
2002,wind,3512.9
2003,bioenergy,227.1
2003,coal,2308.0
2003,geothermal,20.0
2003,hydropower,527.0
2003,nuclear,1082.0
2003,oil/gas,11790.699999999999
2003,utility-scale solar,1.0
2003,wind,4239.500000000001
2004,bioenergy,507.22999999999996
2004,coal,72.0
2004,hydropower,1611.0
2004,oil/gas,12525.1
2004,utility-scale solar,45.99999999999999
2004,wind,3829.5
2005,bioenergy,329.8
2005,coal,845.0
2005,geothermal,70.0
2005,hydropower,1190.0
2005,nuclear,1000.0
2005,oil/gas,13504.600000000002
2005,utility-scale solar,56.3
2005,wind,5104.299999999999
2006,bioenergy,608.2
2006,coal,1110.0
2006,geothermal,198.5
2006,hydropower,588.0
2006,nuclear,1000.0
2006,oil/gas,13630.7
2006,utility-scale solar,82.19999999999999
2006,wind,6273.100000000001
2007,bioenergy,343.7
2007,coal,110.5
2007,geothermal,36.0
2007,hydropower,1566.0
2007,nuclear,705.0
2007,oil/gas,9329.6
2007,utility-scale solar,287.19999999999993
2007,wind,7045.999999999999
2008,bioenergy,530.76
2008,coal,682.0
2008,geothermal,121.7
2008,hydropower,2520.0
2008,oil/gas,11606.8
2008,utility-scale solar,1114.2999999999995
2008,wind,7184.2
2009,bioenergy,812.6
2009,coal,1777.0
2009,geothermal,119.9
2009,hydropower,1291.0
2009,oil/gas,10403.9
2009,utility-scale solar,1236.6000000000004
2009,wind,9123.8
2010,bioenergy,713.8000000000001
2010,coal,12937.0
2010,geothermal,12.3
2010,hydropower,921.0
2010,oil/gas,18136.660000000003
2010,utility-scale solar,2299.299999999999
2010,wind,7575.500000000001
2011,bioenergy,289.48
2011,coal,8820.0
2011,geothermal,107.0
2011,hydropower,1733.0
2011,oil/gas,14483.1
2011,utility-scale solar,3973.3999999999965
2011,wind,8151.700000000003
2012,bioenergy,900.8
2012,coal,10626.0
2012,geothermal,10.399999999999999
2012,hydropower,2679.0
2012,oil/gas,10521.6
2012,utility-scale solar,4927.599999999997
2012,wind,12134.8
2013,bioenergy,568.35
2013,coal,9148.0
2013,geothermal,172.6
2013,hydropower,2993.0
2013,oil/gas,12056.5
2013,utility-scale solar,3008.4000000000015
2013,wind,11473.600000000004
2014,bioenergy,812.0
2014,coal,9191.7
2014,geothermal,197.9
2014,hydropower,1072.0
2014,oil/gas,4367.1
