iso3,peak_gw,bio_geo_mw,bio_geo_share_dispatch,dispatch_all_mw,dispatch_no_bio_mw,cover_ratio_after,insolvable
DNK,6.5,1934.0,0.5450651032791092,3548.2,1614.2,0.275931576763833,true
ISL,2.4,839.4,0.30331719292356824,2767.4,1928.0,0.8925921793554724,false
AND,0.0,18.0,0.2857142811791384,63.0,45.0,45000.0,false
FIN,14.0,3742.8,0.26105879889369754,14337.0,10594.2,0.8408094570786147,false
EST,1.6,105.0,0.1864677673832929,563.1,458.1,0.3181247790800145,true
SWE,27.0,3333.700000000001,0.12356785167100094,26978.7,23645.0,0.9730452274466984,false
GBR,45.0,5318.450000000001,0.10029578908172819,53027.65000000001,47709.200000000004,1.1780049091850642,false
NLD,18.0,1632.2,0.07910743625026742,20632.7,19000.5,1.172870297970969,false
LTU,3.0,144.0,0.0627998255286525,2293.0,2149.0,0.795925631138655,false
TUR,55.0,3041.3599999999997,0.03998692591448272,76058.86,73017.5,1.4751009803009902,false
PRT,11.0,484.28999999999996,0.03748725693060361,12918.79,12434.5,1.2560099741404067,false
HUN,7.0,212.4,0.03454838236884979,6147.9,5935.5,0.9421427075963956,false
DEU,85.0,2247.831,0.03114066482599946,72183.141,69935.31,0.9141870468733719,false
ITA,60.0,1644.98,0.023807862855435343,69093.98,67449.0,1.2490555324248975,false
BEL,14.0,265.4,0.022609554962975398,11738.4,11473.0,0.9105554832892475,false
POL,28.0,754.0,0.02134224008544419,35329.0,34575.0,1.3720237550784224,false
IRL,6.5,123.4,0.01777176104358377,6943.599999999999,6820.2,1.165845954556247,false
CHE,9.0,274.5,0.015461043239358294,17754.3,17479.8,2.1579997335802803,false
ESP,45.0,821.35,0.014638641128911497,56108.35,55287.0,1.3651110774046649,false
AUT,11.0,255.0,0.014169815513771404,17996.0,17741.0,1.7920200210080788,false
LUX,1.0,17.8,0.013569141627100823,1311.8,1294.0,1.4377761802486886,false
HRV,3.5,36.1,0.010293991841713767,3506.9,3470.8,1.1018409200505015,false
LVA,2.0,23.0,0.008692365831937882,2646.0,2623.0,1.457221412654771,false
FRA,90.0,687.239,0.006788890784506066,101229.939,100542.7,1.241267885910273,false
SRB,7.0,37.199999999999996,0.00531185743584192,7003.2,6966.0,1.1057141102041095,false
AZE,6.0,37.0,0.004410590184122996,8388.900000000001,8351.900000000001,1.5466478617318777,false
CZE,11.0,60.2,0.004074229483068651,14775.800000000001,14715.6,1.4864240922803948,false
ROU,9.0,30.0,0.0022582199203406736,13284.8,13254.8,1.6363948597043385,false
UKR,23.0,0.0,0.0,27361.1,27361.1,1.3217922066767047,false
BGR,6.5,0.0,0.0,8927.0,8927.0,1.5259826451311715,false
CYP,1.4,0.0,0.0,1853.0,1853.0,1.4706337534652751,false
GRC,10.0,0.0,0.0,12181.6,12181.6,1.3535109607210045,false
ARM,1.5,0.0,0.0,2535.0,2535.0,1.877776386832306,false
BLR,6.0,0.0,0.0,11658.2,11658.2,2.1589255261249027,false
BIH,2.5,0.0,0.0,4146.0,4146.0,1.8426658477040676,false
XKX,1.2,0.0,0.0,1325.0,1325.0,1.2268507158789668,false
MLT,0.5,0.0,0.0,547.8,547.8,1.2173306281541596,false
MNE,0.6,0.0,0.0,874.0,874.0,1.618515521267553,false
NOR,25.0,0.0,0.0,29456.0,29456.0,1.3091554973708668,false
SVK,5.0,0.0,0.0,5952.0,5952.0,1.3226663727408061,false
GEO,2.2,0.0,0.0,4143.2,4143.2,2.0925241956948506,false
ALB,1.8,0.0,0.0,1770.0,1770.0,1.092591918153137,false
MKD,1.6,0.0,0.0,1766.0,1766.0,1.2263880372305296,false
SVN,3.0,0.0,0.0,3056.0,3056.0,1.1318514326476175,false
MDA,1.6,0.0,0.0,1216.0,1216.0,0.8444438580250985,false
