from_iso3,to_iso3,betweenness,capacity_mw
TUR,GRC,0.22734254992319508,660.0
GRC,ITA,0.22734254992319508,500.0
TUR,SYR,0.20430107526881722,300.0
AUT,ITA,0.2012288786482335,410.0
IRN,TUR,0.19252432155657961,490.0
AUT,DEU,0.18023553507424475,1400.0
JOR,SYR,0.1715309779825909,300.0
EGY,JOR,0.15104966717869944,300.0
EGY,LBY,0.1295442908346134,240.0
AFG,IRN,0.1259600614439324,175.0
TUR,BGR,0.11725550435227855,900.0
LBY,TUN,0.10701484895033282,300.0
AFG,UZB,0.10240655401945725,450.0
DEU,SWE,0.09216589861751152,615.0
DEU,BEL,0.08934971838197645,1000.0
DZA,TUN,0.0855094726062468,280.0
ROU,UKR,0.08294930875576037,150.0
POL,UKR,0.06605222734254992,1215.0
DEU,NOR,0.061187916026625704,1400.0
BEL,GBR,0.058627752176139275,1000.0
BGR,ROU,0.05837173579109063,900.0
UZB,TJK,0.05427547363031234,850.0
SWE,FIN,0.05427547363031234,2400.0
SWE,LTU,0.05427547363031234,700.0
SRB,BGR,0.04608294930875576,320.0
ALB,GRC,0.04249871991807476,400.0
FRA,LUX,0.04249871991807476,380.0
DZA,ESP,0.039938556067588324,2000.0
POL,SWE,0.03891449052739375,600.0
NLD,NOR,0.03789042498719918,700.0
SRB,ROU,0.035842293906810034,680.0
BEL,LUX,0.03533026113671275,680.0
ITA,FRA,0.02867383512544803,2900.0
IRN,PAK,0.027649769585253454,70.0
UZB,KAZ,0.027649769585253454,1000.0
ESP,PRT,0.027649769585253454,2300.0
TUR,GEO,0.027649769585253454,150.0
SYR,LBN,0.027649769585253454,500.0
TJK,KGZ,0.027649769585253454,130.0
ITA,MLT,0.027649769585253454,200.0
GBR,IRL,0.027649769585253454,630.0
ROU,MDA,0.027649769585253454,416.0
EST,FIN,0.027649769585253454,1016.0
LTU,LVA,0.027649769585253454,950.0
SVK,UKR,0.02713773681515617,650.0
SRB,HRV,0.026625704045058884,500.0
AUT,CHE,0.026625704045058884,1200.0
IRN,TKM,0.025601638504864313,380.0
MNE,ITA,0.025089605734767026,600.0
AUT,HUN,0.025089605734767026,800.0
SRB,HUN,0.024065540194572452,750.0
DZA,MAR,0.02304147465437788,1400.0
IRQ,TUR,0.022529441884280594,400.0
AUT,CZE,0.022017409114183307,900.0
DEU,POL,0.021505376344086023,1000.0
ESP,FRA,0.020993343573988736,2800.0
SRB,BIH,0.019457245263696875,530.0
NLD,DNK,0.019457245263696875,700.0
ITA,SVN,0.017409114183307733,660.0
HUN,UKR,0.014336917562724014,650.0
ALB,MNE,0.01228878648233487,350.0
ALB,SRB,0.01228878648233487,500.0
MNE,SRB,0.01228878648233487,580.0
MKD,BGR,0.011264720942140297,500.0
AUT,SVN,0.009728622631848437,950.0
ALB,MKD,0.008704557091653867,500.0
GBR,NLD,0.00819252432155658,1000.0
DNK,SWE,0.00819252432155658,2450.0
GRC,BGR,0.007680491551459293,770.0
MKD,SRB,0.007680491551459293,540.0
MNE,BIH,0.007680491551459293,800.0
CZE,POL,0.0056323604710701485,1400.0
IRQ,SYR,0.005120327700972862,300.0
ESP,MAR,0.004608294930875576,1400.0
CZE,DEU,0.004608294930875576,1600.0
OMN,SAU,0.00409626216077829,400.0
ARE,OMN,0.002560163850486431,400.0
SAU,BHR,0.002560163850486431,600.0
SAU,KWT,0.002560163850486431,1200.0
SAU,QAT,0.002560163850486431,750.0
GBR,NOR,0.002304147465437788,1400.0
UZB,TKM,0.002048131080389145,850.0
CHE,FRA,0.0010240655401945725,3700.0
CZE,SVK,0.0005120327700972862,1800.0
SVN,HRV,0.0005120327700972862,2000.0
BIH,HRV,0.0005120327700972862,750.0
CHN,MNG,0.0005120327700972862,260.0
IRN,IRQ,0.0,1500.0
ARE,SAU,0.0,900.0
UZB,KGZ,0.0,2830.0
GRC,MKD,0.0,1100.0
CHE,DEU,0.0,4200.0
CHE,ITA,0.0,3750.0
DEU,DNK,0.0,3700.0
DEU,FRA,0.0,3000.0
DEU,LUX,0.0,2300.0
DEU,NLD,0.0,3950.0
HUN,HRV,0.0,1700.0
HUN,ROU,0.0,1100.0
HUN,SVK,0.0,1800.0
BEL,FRA,0.0,2800.0
BEL,NLD,0.0,2400.0
FRA,GBR,0.0,3000.0
POL,SVK,0.0,1980.0
DNK,NOR,0.0,1640.0
NOR,SWE,0.0,3695.0
UKR,MDA,0.0,984.0
KAZ,KGZ,0.0,2790.0
