iso3,degree,inter_mw,inter_planned_mw,total_mw,fossil_mw,ren_mw,inter_ratio,is_articulation
ESP,4,8500.0,7100.0,123353.95,31544.0,83580.6,0.06890684159816854,true
GBR,5,7030.0,20045.0,94919.85,36995.2,46072.2,0.07406170509429698,true
SAU,5,3850.0,5650.0,112627.7,100620.2,12007.5,0.03418311673667546,true
TUR,6,2900.0,2750.0,106513.16,46538.5,56933.3,0.027226426983980347,true
IRN,5,2615.0,825.0,95011.1,80485.4,13520.7,0.02752281025258888,true
PRT,1,2300.0,2900.0,22234.29,4651.5,17098.5,0.10343917259455576,false
IRQ,3,2200.0,1500.0,50364.6,46890.6,3374.0,0.0436806073987007,false
ARE,2,1300.0,0.0,58454.2,44865.9,7688.3,0.02223925330851661,false
KWT,1,1200.0,0.0,20376.8,20335.5,41.3,0.05888761299060743,false
EST,1,1016.0,2800.0,2296.7,458.1,1733.6,0.4421813117465292,false
LVA,1,950.0,2600.0,3331.3,1087.0,2221.3,0.28508837739699305,false
OMN,2,800.0,1200.0,17565.3,14253.1,3312.2,0.04554174755070789,false
QAT,1,750.0,0.0,14319.5,12577.5,1692.0,0.05237247302817639,false
IRL,1,630.0,3070.0,12251.8,6360.2,5768.2,0.05141681901279708,false
BHR,1,600.0,0.0,9293.5,9281.9,11.6,0.06455430631018344,false
JOR,2,600.0,950.0,7090.9,4652.8,2425.1,0.08460356180995221,false
TUN,2,580.0,2850.0,5988.6,5518.0,470.6,0.0968345131561373,false
EGY,2,540.0,10500.0,63965.5,54452.1,9468.4,0.00844191881688071,false
LBY,2,540.0,2500.0,15172.0,14672.0,500.0,0.035589534040730245,false
LBN,1,500.0,0.0,3019.1,2824.0,195.1,0.16555743187311678,false
CHN,1,260.0,0.0,3069646.94,1443278.84,1529963.1,0.0000847002669628622,false
MNG,1,260.0,0.0,1638.8,1295.0,343.8,0.15855592145383585,false
MLT,1,200.0,450.0,566.5,547.8,18.7,0.3524229074889868,false
GEO,1,150.0,1050.0,4176.8,1168.2,3008.6,0.035904064340083294,false
PAK,1,70.0,1300.0,47978.1,29209.8,14775.6,0.0014589685925746837,false
