iso3,fossil_mw,total_mw,fossil_share,n_components_after,largest_component_size_after,nodes_isolated_share
SAU,100620.2,112627.7,0.8933797513422422,6,55,0.12698412698412698
IRN,80485.4,95011.1,0.8471068421811536,5,47,0.25396825396825395
SYR,7662.3,9442.9,0.8113491248319021,4,53,0.15873015873015872
UZB,16937.9,22963.6,0.73756564451373,4,51,0.19047619047619047
ITA,50045.0,84938.68,0.5891828177360687,4,53,0.15873015873015872
TUR,46538.5,106513.16,0.43692312834274805,4,53,0.15873015873015872
GBR,36995.2,94919.85,0.3897478794174304,4,53,0.15873015873015872
LTU,1148.0,4472.6,0.2566165951359084,4,53,0.15873015873015872
ESP,31544.0,123353.95,0.25571734251442685,4,53,0.15873015873015872
FIN,3427.2,23114.8,0.14826222756729163,4,53,0.15873015873015872
SWE,2619.0,44225.0,0.059218559218559216,5,50,0.20634920634920634
