iso3,ren_op_mw,inter_mw,ren_gw_per_inter_gw
GEO,3008.6,150.0,20.057333333333332
TUR,56933.3,2900.0,19.632172413793104
ESP,83580.6,8500.0,9.833011764705883
IRL,5768.2,630.0,9.155873015873016
PRT,17098.5,2300.0,7.434130434782609
GBR,46072.2,7030.0,6.5536557610241815
ROU,15391.0,3246.0,4.741528034504005
GRC,14625.8,3430.0,4.264081632653061
DEU,95806.7,24165.0,3.964688599213739
NOR,34772.2,8835.0,3.9357328805885676
ITA,33248.7,9020.0,3.686108647450111
UKR,12501.4,3649.0,3.425979720471362
FIN,11322.8,3416.0,3.3146370023419203
FRA,60080.3,18580.0,3.2336006458557587
POL,19990.0,6195.0,3.22679580306699
AUT,16863.4,5660.0,2.979399293286219
SWE,31088.3,10460.0,2.972112810707457
LVA,2221.3,950.0,2.3382105263157897
NLD,18919.2,8750.0,2.1621942857142855
BGR,6798.0,3390.0,2.005309734513274
LTU,3180.6,1650.0,1.9276363636363636
EST,1733.6,1016.0,1.706299212598425
BIH,2939.5,2080.0,1.4132211538461539
ALB,2124.2,1750.0,1.2138285714285713
CHE,14437.7,12850.0,1.1235564202334631
DNK,8387.2,8490.0,0.9878916372202593
CZE,4783.8,5700.0,0.8392631578947368
BEL,6179.1,7880.0,0.7841497461928936
HRV,3199.6,4950.0,0.6463838383838383
HUN,4380.1,6800.0,0.6441323529411765
SRB,2390.3,4400.0,0.54325
SVK,3087.4,6230.0,0.49556982343499195
LUX,1526.7,3360.0,0.4543750000000001
MKD,1037.2,2640.0,0.3928787878787879
MNE,783.9,2330.0,0.3364377682403434
SVN,1163.6,3610.0,0.3223268698060942
MDA,213.7,1400.0,0.15264285714285714
MLT,18.7,200.0,0.0935
AND,48.3,0.0,
ARM,1246.2,0.0,
ISL,1928.0,0.0,
XKX,186.9,0.0,
CYP,551.9,0.0,
BLR,316.8,0.0,
AZE,1565.1,0.0,
