year,stor_gw_med,stor_gw_p10,stor_gw_p90,gas_gw_traj,crossover_p10,crossover_med,crossover_p90
2026,32.69,21.03,50.78,267.57,2039.0,2040.0,2040.0
2027,35.88,22.89,56.64,262.27,2039.0,2040.0,2040.0
2028,39.36,24.96,62.83,257.08,2039.0,2040.0,2040.0
2029,43.32,27.18,69.68,251.98,2039.0,2040.0,2040.0
2030,47.63,29.55,77.49,247.0,2039.0,2040.0,2040.0
2031,52.49,32.2,86.72,242.1,2039.0,2040.0,2040.0
2032,57.64,35.01,96.32,237.31,2039.0,2040.0,2040.0
2033,63.2,37.88,108.02,232.61,2039.0,2040.0,2040.0
2034,69.45,41.15,120.19,228.01,2039.0,2040.0,2040.0
2035,76.05,44.89,133.67,223.49,2039.0,2040.0,2040.0
2036,83.53,48.84,149.18,219.07,2039.0,2040.0,2040.0
2037,91.96,52.8,166.48,214.73,2039.0,2040.0,2040.0
2038,101.15,57.24,185.8,210.48,2039.0,2040.0,2040.0
2039,111.2,62.24,207.34,206.31,2039.0,2040.0,2040.0
2040,122.35,68.04,231.47,202.22,2039.0,2040.0,2040.0
