year,mw_commissioned,mw_cum
1990,3487.0,3487.0
1991,816.0,4303.0
1992,1558.5,5861.5
1993,2591.5,8453.0
1994,2445.3,10898.3
1995,4933.6,15831.9
1996,5586.1,21418.0
1997,6031.5,27449.5
1998,7599.0,35048.5
1999,6772.9,41821.4
2000,9868.4,51689.8
2001,4744.7,56434.5
2002,11803.9,68238.4
2003,11790.699999999999,80029.09999999999
2004,12366.1,92395.2
2005,13352.600000000002,105747.8
2006,13630.7,119378.5
2007,9273.6,128652.1
2008,11363.8,140015.9
2009,9524.9,149540.8
2010,17699.660000000003,167240.46
2011,14483.1,181723.56
2012,10481.6,192205.16
2013,11932.5,204137.66
2014,4367.1,208504.76
2015,2560.7,211065.46000000002
2016,4896.9,215962.36000000002
2017,4231.1,220193.46000000002
2018,2844.1,223037.56000000003
2019,2781.3,225818.86000000002
2020,2123.4,227942.26
2021,1701.3000000000002,229643.56
2022,3770.2000000000003,233413.76
2023,6256.05,239669.81
2024,6064.3,245734.11
2025,6327.7,252061.81
2026,15504.9,267566.71
