year,mw_commissioned,mw_cum
1990,50.0,50.0
1991,1092.0,1142.0
1992,900.0,2042.0
1994,265.0,2307.0
1995,864.0,3171.0
1996,650.0,3821.0
1997,476.0,4297.0
2003,259.0,4556.0
2004,1060.0,5616.0
2005,617.0,6233.0
2006,453.0,6686.0
2008,1821.0,8507.0
2009,494.0,9001.0
2010,131.0,9132.0
2011,480.0,9612.0
2012,256.0,9868.0
2013,882.0,10750.0
2015,38.0,10788.0
2016,1583.0,12371.0
2017,1288.0,13659.0
2018,5.0,13664.0
2019,406.0,14070.0
2020,13.0,14083.0
2022,1827.1,15910.1
2023,134.8,16044.9
2024,189.6,16234.5
2025,695.0,16929.5
2026,2174.2,19103.7
