iso3,gas_op_mw,gas_pipe_mw,storage_op_mw,storage_pipe_mw,storage_total_mw,gas_excess_mw
ITA,48815.0,5707.0,7643.0,2967.5,10610.5,38204.5
GBR,36995.2,17286.5,3254.4,10646.6,13901.0,23094.199999999997
DEU,34575.21,15081.4,6033.0,619.0,6652.0,27923.21
ESP,31284.0,0.0,6373.1,9645.4,16018.5,15265.5
TUR,26065.3,850.0,0.0,3659.7,3659.7,22405.6
NLD,14985.5,560.0,48.8,74.0,122.8,14862.7
FRA,11614.7,647.0,5826.0,95.0,5921.0,5693.700000000001
BLR,9230.2,0.0,0.0,0.0,0.0,9230.2
GRC,8402.6,4223.0,709.0,25667.9,26376.9,-17974.300000000003
AZE,7140.9,500.0,0.0,100.0,100.0,7040.9
IRL,6360.2,5714.6,292.0,1900.8,2192.8,4167.4
BEL,6069.0,1770.0,1308.0,0.0,1308.0,4761.0
POL,5212.0,9554.0,1875.0,1450.0,3325.0,1887.0
AUT,4826.0,0.0,6144.0,2060.0,8204.0,-3378.0
PRT,4651.5,0.0,3714.0,3071.2,6785.2,-2133.7
UKR,3799.1,3408.2,1985.0,1972.0,3957.0,-157.9000000000001
ROU,3349.8,5333.2,51.4,2434.0,2485.4,864.4000000000001
HUN,3024.5,1540.0,0.0,0.0,0.0,3024.5
FIN,2774.0,0.0,28.8,3810.7,3839.5,-1065.5
SWE,2619.0,0.0,91.0,1929.0,2020.0,599.0
CYP,1853.0,605.0,0.0,172.0,172.0,1681.0
CZE,1819.0,3182.0,1167.0,0.0,1167.0,652.0
HRV,1420.8,0.0,330.0,587.0,917.0,503.79999999999995
DNK,1203.2,0.0,26.0,647.4,673.4,529.8000000000001
GEO,1168.2,400.0,0.0,0.0,0.0,1168.2
MDA,1168.0,305.0,0.0,0.0,0.0,1168.0
LTU,1148.0,0.0,900.0,279.5,1179.5,-31.5
ARM,1127.0,176.0,0.0,0.0,0.0,1127.0
LVA,1087.0,0.0,0.0,625.0,625.0,462.0
SVK,1076.0,0.0,992.0,0.0,992.0,84.0
BGR,761.0,282.0,1022.0,1938.0,2960.0,-2199.0
SRB,594.0,850.0,643.0,4542.6,5185.6,-4591.6
MLT,547.8,0.0,0.0,0.0,0.0,547.8
SVN,535.0,0.0,180.0,440.0,620.0,-85.0
NOR,523.0,0.0,473.0,48.0,521.0,2.0
EST,458.1,300.0,0.0,775.0,775.0,-316.9
MKD,418.0,1205.0,0.0,333.0,333.0,85.0
CHE,98.8,0.0,3748.0,1120.0,4868.0,-4769.2
BIH,0.0,237.5,440.0,0.0,440.0,-440.0
ALB,0.0,630.2,0.0,1200.0,1200.0,-1200.0
MNE,0.0,0.0,307.0,0.0,307.0,-307.0
XKX,0.0,500.0,0.0,0.0,0.0,0.0
