iso3,peak_gw,solar_gw,wind_gw,fossil_gw,storage_gw,solar_peak_share,evening_fossil_need_gw,evening_fossil_index,fossil_evening_gap_gw
MLT,0.5,0.0187,0.0,0.5478,0.0,0.0374,0.449626,0.9991688888888889,0.0
MDA,1.6,0.1657,0.0,1.168,0.0,0.10356249999999999,1.415086,0.982698611111111,0.24708600000000014
CYP,1.4,0.39590000000000003,0.156,1.853,0.0,0.2827857142857143,1.213082,0.9627634920634921,0.0
XKX,1.2,0.0169,0.135,1.29,0.0,0.014083333333333333,1.030162,0.9538537037037037,0.0
AZE,6.0,0.30410000000000004,0.05,7.1409,0.0,0.05068333333333334,4.814268,0.891531111111111,0.0
EST,1.6,1.045599999999999,0.688,0.4581,0.0,0.6534999999999993,1.1840880000000003,0.8222833333333334,0.7259880000000003
MKD,1.6,0.4401999999999999,0.073,1.242,0.0,0.27512499999999995,1.177146,0.8174624999999999,0.0
POL,28.0,8.926500000000003,8.9625,32.474,1.875,0.3188035714285715,20.445495,0.8113291666666668,0.0
SRB,7.0,0.19920000000000002,0.6041,5.379,0.643,0.028457142857142858,5.087021,0.8074636507936508,0.0
IRL,6.5,0.9271000000000001,4.3811,6.3602,0.292,0.14263076923076926,4.309143000000001,0.7366056410256411,0.0
DEU,85.0,38.02609999999987,50.593600000000016,62.74831,6.033,0.44736588235293967,55.48060439999999,0.7252366588235293,0.0
NLD,18.0,6.897100000000011,12.0221,18.4855,0.0,0.3831722222222228,11.613712999999999,0.7168958641975308,0.0
ITA,60.0,5.404400000000003,10.440299999999999,50.045,7.643,0.0900733333333334,38.433049,0.7117231296296296,0.0
HUN,7.0,4.061099999999996,0.319,3.9085,0.0,0.5801571428571423,4.186438,0.6645139682539682,0.2779379999999998
GRC,10.0,5.9782,5.528599999999999,9.0626,0.699,0.59782,5.745236,0.6383595555555556,0.0
TUR,55.0,16.483700000000002,13.9706,46.5385,0.0,0.2997036363636364,31.46422,0.6356408080808081,0.0
BLR,6.0,0.27679999999999993,0.0,9.2302,0.0,0.046133333333333325,3.2272640000000004,0.5976414814814816,0.0
LVA,2.0,0.5853000000000002,0.1,1.087,0.0,0.2926500000000001,1.058294,0.5879411111111111,0.0
HRV,3.5,0.2716,1.095,1.6378,0.33,0.0776,1.850283,0.5873914285714286,0.21248299999999998
DNK,6.5,3.3838999999999992,5.0033,1.6142,0.0,0.5205999999999998,3.3710970000000007,0.5762558974358974,1.7568970000000006
SVN,3.0,0.09360000000000003,0.0,1.259,0.18,0.03120000000000001,1.472328,0.5453066666666666,0.21332800000000018
BEL,14.0,0.9050999999999999,3.966,6.069,1.308,0.06465,6.5021580000000005,0.5160442857142857,0.4331580000000006
LTU,3.0,0.8715999999999998,1.308,1.148,0.9,0.29053333333333325,1.368718,0.5069325925925926,0.2207180000000002
ALB,1.8,0.3542,0.0,0.0,0.0,0.19677777777777777,0.8164160000000001,0.5039604938271606,0.8164160000000001
GBR,45.0,11.126199999999995,30.766,36.995200000000004,3.16,0.2472488888888888,20.053306,0.49514335802469134,0.0
CZE,11.0,2.813799999999996,0.151,8.7326,1.167,0.25579999999999964,4.620204,0.46668727272727273,0.0
BIH,2.5,0.5395,0.244,1.99,0.44,0.2158,0.98801,0.4391155555555556,0.0
ARM,1.5,0.28619999999999995,0.0,1.127,0.0,0.19079999999999997,0.5090760000000001,0.3770933333333334,0.0
BGR,6.5,3.528999999999998,0.608,4.186,0.864,0.5429230769230766,2.12597,0.3634136752136752,0.0
ESP,45.0,36.23070000000002,31.0149,31.543999999999997,6.227,0.8051266666666671,14.397401000000002,0.3554913827160494,0.0
NOR,25.0,0.035800000000000005,5.8034,0.523,0.473,0.0014320000000000001,7.792084000000001,0.3463148444444445,7.269084000000001
GEO,2.2,0.0129,0.0207,1.1682000000000001,0.0,0.005863636363636363,0.6358170000000001,0.321119696969697,0.0
ROU,9.0,3.6130000000000053,5.484,5.5498,0.0,0.40144444444444505,2.5365399999999996,0.31315308641975304,0.0
PRT,11.0,3.550900000000001,5.764600000000001,4.6515,3.714,0.322809090909091,2.731907999999999,0.27595030303030293,0.0
ISL,2.4,0.0,0.0,0.0,0.0,0.0,0.57891,0.2680138888888889,0.57891
FIN,14.0,0.21940000000000004,8.558399999999999,3.4272,0.0,0.015671428571428576,2.9052820000000015,0.23057793650793662,0.0
SWE,27.0,0.6631,16.5832,2.619,0.091,0.02455925925925926,5.400717999999998,0.222251769547325,2.7817179999999975
UKR,23.0,5.687700000000002,0.5667,7.279100000000001,1.985,0.24729130434782617,4.189420999999999,0.20238748792270528,0.0
SVK,5.0,0.8903999999999992,0.0,1.284,0.992,0.17807999999999985,0.7736420000000002,0.1719204444444445,0.0
MNE,0.6,0.0169,0.118,0.225,0.307,0.028166666666666666,0.064612,0.11965185185185184,0.0
FRA,90.0,12.894700000000029,25.854600000000012,13.521700000000001,5.749,0.14327444444444476,2.271237599999992,0.028039970370370274,0.0
AUT,11.0,0.8583999999999996,3.09,4.826,6.144,0.0780363636363636,0.07358200000000004,0.007432525252525256,0.0
LUX,1.0,0.10110000000000002,0.1316,0.0,1.294,0.10110000000000002,0.0,0.0,0.0
CHE,9.0,0.09670000000000001,0.055,0.0988,3.748,0.010744444444444445,0.0,0.0,0.0
