iso3,degree,inter_mw,inter_planned_mw,total_mw,fossil_mw,ren_mw,inter_ratio,is_articulation
DEU,11,24165.0,24700.0,160802.841,62748.31,95806.7,0.150276261124882,false
FRA,7,18580.0,17775.0,139979.239,13521.7,60080.3,0.13273302098019707,false
CHE,4,12850.0,3700.0,17906.0,98.8,14437.7,0.7175964706539342,false
SWE,6,10460.0,4700.0,44225.0,2619.0,31088.3,0.23651245873468096,true
ITA,7,9020.0,8350.0,84938.68,50045.0,33248.7,0.10619300661363452,true
NOR,5,8835.0,1400.0,35295.2,523.0,34772.2,0.25031023169632993,false
NLD,5,8750.0,7050.0,39551.9,18485.5,18919.2,0.2212227169183549,false
ESP,4,8500.0,7100.0,123353.95,31544.0,83580.6,0.06890684159816854,true
DNK,4,8490.0,4500.0,11935.4,1614.2,8387.2,0.7112697295667035,false
BEL,5,7880.0,9800.0,16609.5,6069.0,6179.1,0.47439872369886515,false
GBR,5,7030.0,20045.0,94919.85,36995.2,46072.2,0.07406170509429698,true
HUN,6,6800.0,4137.0,10528.0,3908.5,4380.1,0.6458353119954412,false
SVK,4,6230.0,1800.0,6842.4,1284.0,3087.4,0.9103661922436216,false
POL,5,6195.0,3400.0,53218.0,32474.0,19990.0,0.11640579492286589,false
UZB,5,5980.0,0.0,22963.6,16937.9,6025.7,0.2604007907823346,true
KGZ,3,5750.0,1300.0,3992.0,813.0,3179.0,1.4400200350613575,false
CZE,4,5700.0,1650.0,17740.6,8732.6,4783.8,0.32127880236280837,false
AUT,6,5660.0,9940.0,21944.4,4826.0,16863.4,0.25791281999872406,false
HRV,4,4950.0,898.0,4873.5,1637.8,3199.6,1.0154887680787774,false
SRB,8,4400.0,9050.0,7806.5,5379.0,2390.3,0.563560678834454,false
SAU,5,3850.0,5650.0,112627.7,100620.2,12007.5,0.03418311673667546,true
KAZ,2,3790.0,0.0,23523.05,18250.85,5272.2,0.16111171333167545,false
DZA,3,3680.0,0.0,28237.2,27580.6,656.6,0.1303199212414389,false
UKR,5,3649.0,0.0,33615.5,7279.1,12501.4,0.10854788571088603,false
SVN,3,3610.0,2710.0,3149.6,1259.0,1163.6,1.1458134958420618,false
GRC,5,3430.0,11530.0,23688.4,9062.6,14625.8,0.1447904970155428,false
FIN,2,3416.0,2800.0,23114.8,3427.2,11322.8,0.1477777104837384,true
BGR,5,3390.0,3850.0,13064.0,4186.0,6798.0,0.25947187141216993,false
LUX,3,3360.0,1900.0,1544.5,0.0,1526.7,2.1740537043028145,false
ROU,5,3246.0,4747.0,22381.8,5549.8,15391.0,0.1450220705184338,false
TUR,6,2900.0,2750.0,106513.16,46538.5,56933.3,0.027226426983980347,true
MAR,2,2800.0,1000.0,10578.8,5993.0,4581.2,0.26465528648934766,false
MKD,4,2640.0,1000.0,2279.2,1242.0,1037.2,1.1577931760371898,false
IRN,5,2615.0,825.0,95011.1,80485.4,13520.7,0.02752281025258888,true
MNE,4,2330.0,1360.0,1008.9,225.0,783.9,2.3071591246658087,false
PRT,1,2300.0,2900.0,22234.29,4651.5,17098.5,0.10343917259455576,false
IRQ,3,2200.0,1500.0,50364.6,46890.6,3374.0,0.0436806073987007,false
BIH,3,2080.0,3958.0,4929.5,1990.0,2939.5,0.4218639083257276,false
ALB,4,1750.0,500.0,2124.2,0.0,2124.2,0.8234519104084322,false
LTU,2,1650.0,1000.0,4472.6,1148.0,3180.6,0.36883047210300424,true
SYR,4,1400.0,0.0,9442.9,7662.3,1780.6,0.14824383993900825,true
MDA,2,1400.0,200.0,1381.7,1168.0,213.7,1.0125117523685543,false
ARE,2,1300.0,0.0,58454.2,44865.9,7688.3,0.02223925330851661,false
TKM,2,1230.0,1500.0,7096.0,7087.0,9.0,0.17331266732422151,false
KWT,1,1200.0,0.0,20376.8,20335.5,41.3,0.05888761299060743,false
EST,1,1016.0,2800.0,2296.7,458.1,1733.6,0.4421813117465292,false
TJK,2,980.0,2600.0,6441.2,606.0,5835.2,0.15212194591909597,false
LVA,1,950.0,2600.0,3331.3,1087.0,2221.3,0.28508837739699305,false
OMN,2,800.0,1200.0,17565.3,14253.1,3312.2,0.04554174755070789,false
QAT,1,750.0,0.0,14319.5,12577.5,1692.0,0.05237247302817639,false
IRL,1,630.0,3070.0,12251.8,6360.2,5768.2,0.05141681901279708,false
AFG,2,625.0,1325.0,705.8,266.6,439.2,0.8842671194114319,false
BHR,1,600.0,0.0,9293.5,9281.9,11.6,0.06455430631018344,false
JOR,2,600.0,950.0,7090.9,4652.8,2425.1,0.08460356180995221,false
TUN,2,580.0,2850.0,5988.6,5518.0,470.6,0.0968345131561373,false
EGY,2,540.0,10500.0,63965.5,54452.1,9468.4,0.00844191881688071,false
LBY,2,540.0,2500.0,15172.0,14672.0,500.0,0.035589534040730245,false
LBN,1,500.0,0.0,3019.1,2824.0,195.1,0.16555743187311678,false
CHN,1,260.0,0.0,3069646.94,1443278.84,1529963.1,0.0000847002669628622,false
MNG,1,260.0,0.0,1638.8,1295.0,343.8,0.15855592145383585,false
MLT,1,200.0,450.0,566.5,547.8,18.7,0.3524229074889868,false
GEO,1,150.0,1050.0,4176.8,1168.2,3008.6,0.035904064340083294,false
PAK,1,70.0,1300.0,47978.1,29209.8,14775.6,0.0014589685925746837,false
